OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE,AVERAGE_RADIUS,RANDOM_THETA,X_COORD,Y_COORD
VANGUARD 1,1958-002B,5,PAY,,US,1958-03-17,AFETR,,132.62,34.25,3824.0,649.0,0.122,,EA,ORB,2236.5,4.415824164291045,-2515.427506660699,-8231.748338520483
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,121.12,32.87,2909.0,552.0,0.3931,,EA,ORB,1730.5,2.479806005382311,-6391.237274702339,4978.593008918827
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,124.12,33.35,3221.0,508.0,0.6412,,EA,ORB,1864.5,2.2280846737499336,-5031.663328812662,6519.649100640453
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,95.21,50.28,601.0,457.0,0.5003,,EA,ORB,529.0,3.0860641253290875,-6889.3649429094785,382.9499750749142
TIROS 1,1960-002B,29,PAY,-,US,1960-04-01,AFETR,,97.48,48.38,654.0,622.0,0.8029999999999999,,EA,ORB,638.0,4.35904407107356,-2425.3803412275834,-6575.987469603844
TRANSIT 2A,1960-007A,45,PAY,,US,1960-06-22,AFETR,,100.34,66.69,958.0,592.0,0.4299,,EA,ORB,775.0,3.132655491080918,-7145.714616121777,63.864113112127285
SOLRAD 1 (GREB),1960-007B,46,PAY,,US,1960-06-22,AFETR,,99.11,66.69,857.0,574.0,0.3501,,EA,ORB,715.5,3.7244051926086073,-5916.646441561335,-3900.2278312375015
COURIER 1B,1960-013A,58,PAY,,US,1960-10-04,AFETR,,106.95,28.32,1209.0,963.0,1.2843,,EA,ORB,1086.0,2.77533699266688,-6962.413114789919,2670.5154219740703
EXPLORER 11,1961-013A,107,PAY,,US,1961-04-27,AFETR,,101.6,28.79,1204.0,464.0,0.4538,,EA,ORB,834.0,4.948747285033545,1687.1497543408814,-7004.680628438923
TRANSIT 4A,1961-015A,116,PAY,,US,1961-06-29,AFETR,,103.44,66.81,980.0,863.0,0.7486,,EA,ORB,921.5,0.3950508992903268,6730.809602612333,2806.556313951602
